21 Jun 2012
pkgs,avgvote,numvotes,users,rank,Crantastic Rank,Inside-R Votes
fields,5,0,3,76,1,148
heavy,4.3,3,3,77,16,74
XLConnect,4.3,2,3,78,30,54
Defaults,3.7,4,3,79,47,155
ez,3.7,3,3,80,54,157
apcluster,3.7,3,3,81,55,34
geoR,3.6,4,3,82,57,103
bitops,3.5,1,3,83,65,74
qtl,3.5,3,3,84,66,32
seqinr,3.5,3,3,85,67,87
spatstat,3.5,3,3,86,68,72
Deducer,3.3,3,3,87,93,157
R2WinBUGS,3.3,3,3,88,94,84
fitdistrplus,3.2,3,3,89,124,63
raster,3.2,3,3,90,125,87
DPpackage,3,2,3,91,131,56
emdbook,3,2,3,92,132,81
AER,3,1,3,93,133,74
rv,4.2,3,2,94,18,153
minpack.lm,4.3,3,2,95,19,153
arules,4,1,2,96,31,1
logging,3.7,3,2,97,56,157
Rserve,3.5,1,2,98,69,26
bigmemory,3.5,3,2,99,70,34
iterators,3.5,3,2,100,71,85
sendmailR,3.5,3,2,101,72,157
spdep,3.5,1,2,102,73,74
spgwr,3.5,1,2,103,74,74
Cairo,3.4,3,2,104,95,155
SemiPar,3.3,3,2,105,96,84
caTools,3.4,3,2,106,97,45
gRain,3.3,3,2,107,98,84
hwriter,3.4,2,2,108,99,52
picante,3.3,3,2,109,100,84
pedigreemm,3.3,3,2,110,101,85
genalg,3.3,3,2,111,102,84
heatmap.plus,3.3,3,2,112,103,84
spam,3.3,3,2,113,104,31
vars,3.3,3,2,114,105,84
laercio,3.3,3,2,115,106,84
FNN,3.3,3,2,116,107,27
mritc,3.3,3,2,117,108,26
qcc,3.2,2,2,118,113,118
tree,3.2,3,2,119,121,47
analogue,3,2,2,120,134,12
faraway,3,2,2,121,135,81
klaR,3,2,2,122,136,13
mclust,3,2,2,123,137,13
RgoogleMaps,3,1,2,124,138,75
MHadaptive,3,2,2,125,139,11
LinearizedSVR,3,2,2,126,140,14
RecordLinkage,5,1,1,127,2,0
sybil,5,1,1,128,3,3
ggmap,4,1,1,129,32,0
clim.pact,3.5,0,1,130,75,15
mlbench,3.5,1,1,131,76,74
onemap,3.4,5,1,132,86,140
FactoClass,3.4,3,1,133,110,89
sampleSelection,3.3,3,1,134,111,26
RSvgDevice,3.2,2,1,135,116,93
Rcapture,3,2,1,136,141,33
SoDA,3,2,1,137,142,29
SparseM,3,2,1,138,143,26
aaMI,3,1,1,139,144,20
adehabitat,3,2,1,140,145,81
bnlearn,3,2,1,141,146,81
ca,3,2,1,142,147,26
copula,3,2,1,143,148,27
debug,3,2,1,144,149,81
gregmisc,3,2,1,145,150,81
GEVcdn,4.5,1,0,146,9,0
deal,3.5,1,0,147,77,74
ROracle,3.5,1,0,148,78,74
abn,3.5,1,0,149,79,3
int64,3.5,3,0,150,80,25
